user_id,time,event_name,skill,value
-5Q1RnoZv1s5dnDnV0xwZg,1569601761,Work Hours Set,,
-5Q1RnoZv1s5dnDnV0xwZg,1569634290,Configuration Set,Responsiveness,neutral
-5Q1RnoZv1s5dnDnV0xwZg,1569634299,Configuration Set,Communication Frequency,neutral
-5Q1RnoZv1s5dnDnV0xwZg,1569634311,Configuration Set,1 on 1 Meeting Time,neutral
-5Q1RnoZv1s5dnDnV0xwZg,1569634326,Configuration Set,Giving Recognition,neutral
-5Q1RnoZv1s5dnDnV0xwZg,1569634349,Configuration Set,Soliciting Opinions,neutral
-5Q1RnoZv1s5dnDnV0xwZg,1569634356,Configuration Set,Giving Opinions,neutral
-5Q1RnoZv1s5dnDnV0xwZg,1569634376,Configuration Set,Positivity : Negativity Ratio,neutral
-5Q1RnoZv1s5dnDnV0xwZg,1569634416,Configuration Set,Avoiding After-Hours Messaging,neutral
-D1EFmhZyIkPiNDaI_ItLw,1568904720,Proximity Set,,
-D1EFmhZyIkPiNDaI_ItLw,1568904777,Work Hours Set,,
-D1EFmhZyIkPiNDaI_ItLw,1571685433,Configuration Set,Responsiveness,neutral
-D1EFmhZyIkPiNDaI_ItLw,1571685442,Configuration Set,Communication Frequency,neutral
-D1EFmhZyIkPiNDaI_ItLw,1571685476,Configuration Set,1 on 1 Meeting Time,neutral
-D1EFmhZyIkPiNDaI_ItLw,1571685487,Configuration Set,Giving Recognition,neutral
-D1EFmhZyIkPiNDaI_ItLw,1571685492,Configuration Set,Soliciting Opinions,neutral
-JSJF6FEwIRnpcldwtbGrg,1565014952,Proximity Set,,
-QKWTntNpeX8n8Q254Md5Q,1569498049,Feedback Submitted,1 on 1 Meeting Time,
-QKWTntNpeX8n8Q254Md5Q,1569506545,Feedback Submitted,1 on 1 Meeting Time,
-WAgnu35SEgKMvVCrXP1mw,1568753907,Proximity Set,,
-WAgnu35SEgKMvVCrXP1mw,1568753916,Work Hours Set,,
05wP8NBlmeGl4bFFy93LUA,1569934215,Proximity Set,,
05wP8NBlmeGl4bFFy93LUA,1569934228,Work Hours Set,,
05wP8NBlmeGl4bFFy93LUA,1569956375,Configuration Set,Responsiveness,neutral
05wP8NBlmeGl4bFFy93LUA,1569956397,Configuration Set,Communication Frequency,neutral
05wP8NBlmeGl4bFFy93LUA,1569956403,Configuration Set,1 on 1 Meeting Time,neutral
0Iq4WVx79XZtxxaVOe2nWQ,1568828798,Proximity Set,,
0Iq4WVx79XZtxxaVOe2nWQ,1568828810,Work Hours Set,,
0Iq4WVx79XZtxxaVOe2nWQ,1569243472,Configuration Set,Responsiveness,neutral
0Iq4WVx79XZtxxaVOe2nWQ,1569243482,Configuration Set,Communication Frequency,neutral
0Iq4WVx79XZtxxaVOe2nWQ,1569243490,Configuration Set,1 on 1 Meeting Time,neutral
0Iq4WVx79XZtxxaVOe2nWQ,1569243502,Configuration Set,Giving Recognition,neutral
0Iq4WVx79XZtxxaVOe2nWQ,1569243510,Configuration Set,Soliciting Opinions,neutral
0Iq4WVx79XZtxxaVOe2nWQ,1569243517,Configuration Set,Giving Opinions,neutral
0Iq4WVx79XZtxxaVOe2nWQ,1569243525,Configuration Set,Positivity : Negativity Ratio,neutral
0Iq4WVx79XZtxxaVOe2nWQ,1569243532,Configuration Set,Avoiding After-Hours Messaging,neutral
0Tg9Xd2V45LNcJQqj0NERA,1568831869,Proximity Set,,
0Tg9Xd2V45LNcJQqj0NERA,1568831881,Work Hours Set,,
0Tg9Xd2V45LNcJQqj0NERA,1569946568,Configuration Set,Responsiveness,neutral
0Tg9Xd2V45LNcJQqj0NERA,1569946571,Configuration Set,Communication Frequency,neutral
0Tg9Xd2V45LNcJQqj0NERA,1569946572,Configuration Set,1 on 1 Meeting Time,neutral
