user_id,message_id,event_name,time,send_number,skill,series_length,d,h,res_tag,trend
-5Q1RnoZv1s5dnDnV0xwZg,0100016d86ca8af5-bf676b07-6713-424a-ab9d-89c93ba4159b-000000,Email Delivery,1569924485,,ValueOpinions,,2.0,10.0,hbrWeeklyEmail,up
-5Q1RnoZv1s5dnDnV0xwZg,0100016d86ca8af5-bf676b07-6713-424a-ab9d-89c93ba4159b-000000,Email Open,1569928778,,ValueOpinions,,2.0,10.0,hbrWeeklyEmail,up
-5Q1RnoZv1s5dnDnV0xwZg,0100016daad5b1d1-e457312d-3aa7-4920-8236-36a328718b24-000000,Email Delivery,1570529196,,FriendlinessDirect,,2.0,10.0,hbrWeeklyEmail,down
-5Q1RnoZv1s5dnDnV0xwZg,0100016daad5b1d1-e457312d-3aa7-4920-8236-36a328718b24-000000,Email Open,1570542103,,FriendlinessDirect,,2.0,10.0,hbrWeeklyEmail,down
-5Q1RnoZv1s5dnDnV0xwZg,0100016db6f26ccb-8e3b9fd7-2a12-4b4c-931b-e3d891774ef6-000000,Email Delivery,1570732406,,,,4.0,18.0,monthlyLeadershipReport,
-5Q1RnoZv1s5dnDnV0xwZg,0100016dcedfbfaa-8358f851-214b-4f21-babc-b177b475ef4b-000000,Email Delivery,1571133835,,CoachingNeedy,,2.0,10.0,hbrWeeklyEmail,down
-5Q1RnoZv1s5dnDnV0xwZg,0100016dcedfbfaa-8358f851-214b-4f21-babc-b177b475ef4b-000000,Email Open,1571142249,,CoachingNeedy,,2.0,10.0,hbrWeeklyEmail,down
-5Q1RnoZv1s5dnDnV0xwZg,0100016dd9cfd67b-bc20d5cd-8b7f-4199-a60c-e6904ee0f059-000000,Email Delivery,1571317344,1.0,WorkLifeBalance,3.0,4.0,13.0,opportunity series,
-5Q1RnoZv1s5dnDnV0xwZg,0100016dd9cfd67b-bc20d5cd-8b7f-4199-a60c-e6904ee0f059-000000,Email Open,1571317596,1.0,WorkLifeBalance,3.0,4.0,13.0,opportunity series,
-5Q1RnoZv1s5dnDnV0xwZg,0100016e1279404d-a0210791-f68b-458f-823c-b22a85b6edd1-000000,Email Delivery,1572267969,2.0,WorkLifeBalance,3.0,1.0,13.0,opportunity series,
